Lokalizacja;Numer stacji;Szer. geograficzna;D³. geograficzna;Dzielnica
Miasteczko Orange;6461;52.208684902999;20.9464645385742;Ochota
Miasteczko Orange 1;64611;52.2082641333771;20.9456920623779;Ochota
ul. Wolska – ul. P³ocka;6462;52.23332256001735;20.965754985809323;Wola
Budynek LOT;6463;52.1827080606605;20.9695851802826;W³ochy
Blue City;6464;52.213530041019155;20.95563769340515;Ochota
T-Mobile;6465;52.18087924523222;20.992426872253418;Mokotów
Mariensztat;6466;52.24655099048534;21.017478704452515;Œródmieœcie
EuroCentrum;6467;52.22062915307417;20.972299575805664;Ochota
Metro Wawrzyszew;6473;52.28584837775539;20.940569043159485;Bielany
ul. Grochowska – Urz¹d Dzielnicy Praga – Po³udnie;6474;52.24635392336338;21.068853735923767;Praga P³d.
ul. Afrykañska – Egipska;6475;52.224996515133036;21.0712730884552;Praga P³d.
ul. Gen. R. Abrahama;6476;52.228289005239326;21.085622906684872;Praga P³d.
ul. Rechniewskiego – Nowaka – Jeziorañskiego;6477;52.22966573260081;21.106356382369995;Praga P³d.
pl. Szembeka;6478;52.24263904435865;21.102038025856018;Praga P³d.
ul. Redutowa;6479;52.22675779769572;20.942344665527344;Wola
ul. Pu³awska – Dworkowa;6480;52.20555533353896;21.02306306362152;Mokotów
ul. Jana III Sobieskiego – Che³mska;6481;52.201600320719834;21.035878658294674;Mokotów
ul. Czerniakowska – ZUS;6482;52.19951911278353;21.05130672454834;Mokotów
ul. Œw. Bonifacego – Pêtla Stegny;6483;52.177892456900445;21.049649119377136;Mokotów
Metro Wierzbno;6484;52.18887153573278;21.01761817932129;Mokotów
Metro Rac³awicka;6485;52.199288957421864;21.012194752693176;Mokotów
ul. Jana III Sobieskiego – rejon ul. Œw. Bonifacego;6486;52.18187918241075;21.056467294692993;Mokotów
ul. Czerniakowska – rejon ul. J. Gagarina;6487;52.207307525111965;21.04801297187805;Mokotów
UD Ursus;6488;52.2005646607065;20.893737673759457;Ursus
PKP Ursus;6489;52.19596472349465;20.884934663772583;Ursus
OSiR Ursus;6490;52.18691799737384;20.89069604873657;Ursus
ul. Skoroszewska – Prystora;6491;52.19063753946811;20.900035500526428;Ursus
PKP Ursus NiedŸwiadek;6492;52.19164712275148;20.868959426879883;Ursus
ul. Jana III Sobieskiego – Wilanowska;6493;52.17031274575778;21.068408489227295;Wilanów
ul. Przyczó³kowa – Branickiego;6494;52.15923035794532;21.08649730682373;Wilanów
Wola Park;6495;52.241344840165176;20.92921257019043;Wola
Atrium Targówek;6496;52.30273849910207;21.058843731880188;Targówek
al. Rzeczypospolitej / ul. Branickiego;6497;52.156778566238266;21.076213717460632;Wilanów
Atrium Promenada;6498;52.231834238039944;21.104929447174072;Praga P³d.
Rondo Vogla – Syta;6499;52.164775187347715;21.10926389694214;Wilanów
